City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Waingapu,ID,85.59,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
8,Tulum,MX,79.3,scattered clouds,20.2167,-87.4667,Kin Ha Tulum
14,Pokhara,NP,75.02,scattered clouds,28.2333,83.9833,OYO 170 Hotel View Point
15,Rikitea,PF,72.59,clear sky,-23.1203,-134.9692,People ThankYou
16,Tabuk,PH,85.06,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
17,Bengkulu,ID,79.0,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
18,Fare,PF,77.83,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
19,Flinders,AU,70.18,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
21,Hithadhoo,MV,81.97,broken clouds,-0.6,73.0833,Scoop Guest House
22,Gushi,CN,73.27,overcast clouds,34.6425,109.5843,Wansheng Yuan Hotel
25,Cabo San Lucas,MX,81.05,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
30,Estelle,US,82.38,broken clouds,29.8458,-90.1067,Ohio
33,Nioro,GM,76.32,overcast clouds,13.35,-15.75,
35,Kapaa,US,87.78,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
42,Atuona,PF,76.6,scattered clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
44,Xingcheng,CN,80.17,clear sky,40.6167,120.7167,New Century Hotel
45,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
47,Mount Isa,AU,85.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
49,Lake Charles,US,75.42,scattered clouds,30.2131,-93.2044,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
50,Bull Savanna,JM,78.58,scattered clouds,17.8868,-77.5902,Big Red's
51,San Patricio,US,82.89,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
60,Huilong,CN,80.62,scattered clouds,31.8111,121.655,Hilton Garden Inn Qidong
61,Karratha,AU,75.74,clear sky,-20.7377,116.8463,ibis Styles Karratha
63,Naze,JP,86.92,overcast clouds,28.3667,129.4833,Shishime Hotel
66,Shangrao,CN,85.05,broken clouds,28.4532,117.9686,Boyue boutique Hotel
73,Praia Da Vitoria,PT,77.25,light intensity shower rain,38.7333,-27.0667,Hotel Branco I
74,Katsuura,JP,80.62,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
77,Dzilam Gonzalez,MX,78.71,overcast clouds,21.2833,-88.9333,posadas
79,Thinadhoo,MV,82.98,overcast clouds,0.5333,72.9333,
80,Mundra,IN,80.82,clear sky,22.85,69.7333,Hotel Bansidhar Palace
83,Rameswaram,IN,81.93,light rain,9.2833,79.3,Daiwik Hotels Rameswaram
86,Victoria,HK,89.96,few clouds,22.2855,114.1577,Mini Central
87,Shihezi,CN,87.8,clear sky,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
90,Matay,EG,75.97,clear sky,28.419,30.7792,Nag Aespen
97,West Fargo,US,78.8,clear sky,46.875,-96.9004,Hilton Garden Inn Fargo
101,Faanui,PF,77.67,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
106,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
107,Massaguet,TD,81.9,broken clouds,12.4755,15.4365,Alwatane
117,Vanimo,PG,84.2,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
121,Hasaki,JP,75.6,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
122,Omboue,GA,74.19,light rain,-1.5746,9.2618,Hotel Olako
125,Tangping,CN,89.11,overcast clouds,22.0265,111.9323,
127,Butaritari,KI,81.46,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
128,Saint Anthony,US,78.91,clear sky,45.0205,-93.21799999999999,Holiday Inn Express Roseville-St. Paul
129,Fukuyama,JP,84.79,overcast clouds,34.4833,133.3667,Hotel 1-2-3 Fukuyama
131,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
137,Moranbah,AU,77.72,overcast clouds,-22.0016,148.0466,Property Vine - Monterey Moranbah
138,Tema,GH,75.61,broken clouds,5.667000000000001,-0.0166,Beulah Royale Hotel Tema
139,Vavuniya,LK,77.47,heavy intensity rain,8.7514,80.4971,Thampa Hotel
140,Port Blair,IN,79.48,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
142,Ponta Do Sol,PT,72.72,clear sky,32.6667,-17.1,Hotel do Campo
144,Sibolga,ID,81.37,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
146,Kourou,GF,75.25,broken clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
156,Yanam,IN,77.34,overcast clouds,16.7333,82.2167,The Regency Hotel
158,Sao Jose Da Coroa Grande,BR,73.26,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
163,Gemena,CD,71.02,overcast clouds,3.25,19.7667,Hôtel Goshen
164,Oyama,JP,79.59,moderate rain,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
167,Dingle,PH,85.35,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
171,Belmonte,BR,70.12,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
172,Hilo,US,84.27,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
176,Kisangani,CD,70.47,light rain,0.5167,25.2,Grand Ramela Hotel
177,Komsomolskiy,UZ,72.32,clear sky,40.4272,71.7189,Ikathouse
181,Kalmunai,LK,80.69,overcast clouds,7.4167,81.8167,VS Villa
183,Isangel,VU,80.96,clear sky,-19.55,169.2667,Tanna Lodge
184,Pouembout,NC,74.43,broken clouds,-21.1333,164.9,Camping de Tipenga
187,Jalu,LY,71.47,clear sky,29.0331,21.5482,صاحبة الفخامة
188,Fukue,JP,80.96,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
192,San Ignacio,BZ,77.14,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
193,Itarema,BR,77.36,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
195,Makaha,US,87.71,clear sky,21.4694,-158.2175,Hawaiian Princess Resort
200,Urubicha,BO,81.52,clear sky,-15.3833,-62.95,
201,Manta,EC,71.38,broken clouds,-0.95,-80.7333,Balandra Hotel
203,Mackay,AU,77.68,clear sky,-21.15,149.2,International Lodge Motel
205,Lompoc,US,87.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
206,Cabedelo,BR,70.47,clear sky,-6.9811,-34.8339,Pousada Camboinha
209,Bandarbeyla,SO,77.04,light rain,9.4942,50.8122,JABIR HOTEL
