City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Ayora,EC,2022-09-08 02:06:13,-0.7393,-90.3518,68.56,94,100,5.99,overcast clouds
1,Qaanaaq,GL,2022-09-08 02:06:58,77.484,-69.3632,28.89,80,51,3.04,broken clouds
2,Punta Arenas,CL,2022-09-08 02:06:01,-53.15,-70.9167,35.71,80,40,12.66,scattered clouds
3,Jamestown,US,2022-09-08 02:05:45,42.097,-79.2353,65.17,70,100,3.44,overcast clouds
4,Waingapu,ID,2022-09-08 02:15:49,-9.6567,120.2641,85.59,61,40,11.7,scattered clouds
5,Iqaluit,CA,2022-09-08 02:12:35,63.7506,-68.5145,42.53,81,75,11.5,broken clouds
6,Leningradskiy,RU,2022-09-08 02:11:17,69.3833,178.4167,46.99,50,9,10.45,clear sky
7,Bluff,NZ,2022-09-08 02:06:15,-46.6,168.3333,50.81,62,34,2.3,scattered clouds
8,Tulum,MX,2022-09-08 02:15:52,20.2167,-87.4667,79.3,84,31,4.18,scattered clouds
9,Mataura,NZ,2022-09-08 02:06:12,-46.1927,168.8643,50.49,60,35,0.92,scattered clouds
10,Barrow,US,2022-09-08 02:04:00,71.2906,-156.7887,41.02,87,100,10.36,overcast clouds
11,Thompson,CA,2022-09-08 02:03:34,55.7435,-97.8558,62.8,41,95,2.48,overcast clouds
12,Ushuaia,AR,2022-09-08 02:15:55,-54.8,-68.3,38.86,75,75,5.75,broken clouds
13,Atar,MR,2022-09-08 02:15:56,20.5169,-13.0499,93.07,21,2,10.42,clear sky
14,Pokhara,NP,2022-09-08 02:15:57,28.2333,83.9833,75.02,81,35,0.16,scattered clouds
15,Rikitea,PF,2022-09-08 02:06:54,-23.1203,-134.9692,72.59,75,0,23.58,clear sky
16,Tabuk,PH,2022-09-08 02:15:59,17.4189,121.4443,85.06,73,49,4.56,scattered clouds
17,Bengkulu,ID,2022-09-08 02:11:25,-3.8004,102.2655,79.0,71,100,2.37,overcast clouds
18,Fare,PF,2022-09-08 02:16:01,-16.7,-151.0167,77.83,75,64,21.0,light rain
19,Flinders,AU,2022-09-08 02:09:14,-34.5833,150.8552,70.18,68,100,5.99,overcast clouds
20,Mar Del Plata,AR,2022-09-08 02:05:05,-38.0023,-57.5575,55.33,81,100,8.3,overcast clouds
21,Hithadhoo,MV,2022-09-08 02:07:39,-0.6,73.0833,81.97,71,57,15.82,broken clouds
22,Gushi,CN,2022-09-08 02:16:04,34.6425,109.5843,73.27,61,100,9.48,overcast clouds
